keys,en,es
EVTCARD_PROMPT,Choose a card to remove,Elige una carta para eliminar
BATTLE_ATTACKER,Attacker,Atacante
BATTLE_DEFENDER,Defender,Defensor
BATTLE_ASSIGN_TROOPS,Assign Troops,Asignar Tropas
RECOVER_PROMPT,Select a card to recover,Selecciona una carta para recuperar
UI_ASSIGN,Assign,Asignar
UI_REMOVE,Remove,Eliminar
UI_SAVE,Save,Guardar
UI_LOAD,Load,Cargar
UI_DELETE,Delete,Borrar
FMT_GOLD,%d gold,%d oro
FMT_PER_TURN,%d/turn,%d/turno
FMT_MAINTENANCE,Upkeep: %d gold · %d food,Mant: %d oro · %d comida
GENERIC_RIVAL,Rival,Rival
GENERIC_BUILDING,building,edificio
GENERIC_TROOP,troop,tropa
GENERIC_CARD,card,carta
TILE_NO_RESOURCE,No resource,Sin recurso
TILE_NO_CONTROLLER,No controller,Sin controlador
TILE_DEMOLISH_CONFIRM_NAMED,Demolish %s? This action cannot be undone.,¿Demoler %s? Esta acción no se puede deshacer.
TILE_DEMOLISH_TITLE,Demolish building,Demoler edificio
LOC_UNCOLONIZED,Uncolonized,Sin colonizar
LOC_VILLAGE,Village,Aldea
LOC_TOWN,Town,Ciudad
LOC_MEGALOPOLIS,Megalopolis,Megalópolis
BATTLE_MARKER,Score: %s%.1f / %.1f,Marcador: %s%.1f / %.1f
BATTLE_TURNS,Turn %d (min. %d remaining),Turno %d (mín. %d restantes)
BATTLE_TROOPS_LINE,Troops: %d ATK · %d DEF,Tropas: %d ATK · %d DEF
BATTLE_EFFECTIVENESS_LINE,Effectiveness: ×%.2f (%.1f effective),Efectividad: ×%.2f (%.1f efectivo)
BATTLE_PRESSURE_LINE,Pressure: %.2f,Presión: %.2f
BATTLE_MAINTENANCE_LINE,Upkeep: -%d gold · -%d food,Mant.: -%d oro · -%d comida
BATTLE_ACTIVE_TACTICS,Active tactics:,Tácticas activas:
BATTLE_NO_TROOPS,No troops,Sin tropas
BATTLE_NO_EFFECT,(no effect),(sin efecto)
BATTLE_ASSIGN_TITLE,Assign Troops to the Front,Asignar Tropas al Frente
ASSIGN_FRONT_TROOPS,Troops at the front: %d,Tropas en el frente: %d
ASSIGN_RESERVE_TROOPS,Troops in reserve: %d,Tropas en reserva: %d
ASSIGN_NO_TROOPS,No troops available in the reserve,No hay tropas disponibles en la reserva
TROOP_TYPE_CABALLERIA,Cavalry,Caballería
TROOP_TYPE_A_DISTANCIA,Ranged,A Distancia
TROOP_TYPE_INFANTERIA_LIGERA,Light Infantry,Infantería Ligera
TROOP_TYPE_INFANTERIA_PESADA,Heavy Infantry,Infantería Pesada
TROOP_TYPE_PIQUEROS,Pikemen,Piqueros
MOD_PERMANENT,Permanent,Permanente
MOD_TURNS_LEFT,Turns left: %d,Turnos restantes: %d
LOADING_TITLE,Generating map...,Generando mapa...
LOADING_SUBTITLE,Please wait...,"Por favor, espera..."
LOADING_SEED,Seed: %d,Semilla: %d
RIVAL_TILES,%d tiles,%d casillas
RIVAL_DECK_CARDS,%d cards,%d cartas
SHOP_STOCK,Stock: %d,Stock: %d
SHOP_PURGE_COST,Purge cost: %d gold,Coste de purga: %d oro
SHOP_PURGE_COST_USES,Purge cost: %d gold (%d uses left),Coste de purga: %d oro (%d usos restantes)
SHOP_SOLD_OUT,Sold out,Agotado
MAPMODE_POLITICAL_TIP,Political Mode: shows each empire's territorial control,Modo Político: muestra el control territorial de cada imperio
MAPMODE_BIOMES_TIP,Biomes Mode: shows the terrain type of each tile,Modo Biomas: muestra el tipo de terreno de cada tile
MAPMODE_RESOURCES_TIP,Resources Mode: shows the map's natural resources,Modo Recursos: muestra los recursos naturales del mapa
MAPMODE_LOCATION_TIP,Locations Mode: shows each tile's location type,Modo Localizaciones: muestra el tipo de cada ubicación
CARDPILE_DRAW_TITLE,Draw Pile,Pila de robo
CARDPILE_PLAYED_TITLE,Played Cards,Cartas jugadas
AILOG_AT," at %s"," en %s"
AILOG_AT_COORDS," at (%d, %d)"," en (%d, %d)"
AILOG_BUILDS,builds %s,construye %s
AILOG_UPGRADES,upgrades to %s,mejora a %s
AILOG_RECRUITS,recruits %s,recluta %s
AILOG_RECOVERS,recovers %s,recupera %s
AILOG_PLAYS,plays %s,juega %s
RECRUIT_TITLE,Recruit Troop,Reclutar Tropa
MATCHUP_STRONG,Strong vs: %s,Fuerte vs: %s
MATCHUP_WEAK,Weak vs: %s,Débil vs: %s
OPENFRONT_TITLE,Open battle front,Abrir frente de batalla
OPENFRONT_INSTRUCTION,Select the tile to attack from,Selecciona la casilla desde la que atacar
OPENFRONT_CANCEL_HINT,Right click: cancel,Clic derecho: cancelar
SAVE_TITLE_LOAD,Load game,Cargar partida
SAVE_TITLE_FULL,Save / Load,Guardar / Cargar
SAVE_SLOT_LABEL,Slot:,Ranura:
SAVE_SLOT_PLACEHOLDER,slot name,nombre del slot
CARD_TACTIC_DEFAULT,Tactic,Táctica
TACTIC_AFFECTS,Affects: %s,Afecta a: %s
TACTIC_FLAT_ATK,+%.1f flat ATK per troop,+%.1f ATK plano por tropa
TACTIC_FLAT_DEF,+%.1f flat DEF per troop,+%.1f DEF plano por tropa
TACTIC_BIOME,Biome: %s,Bioma: %s
CARD_BUILD_TOOLTIP,[center][b][color=#5B7A3A]Build[/color][/b] a [color=#4A6A8A]building[/color] on a controlled tile[/center],[center][b][color=#5B7A3A]Construye[/color][/b] un [color=#4A6A8A]edificio[/color] en una casilla controlada[/center]
CARD_COLONIZE_TOOLTIP,[center][b][color=#5B7A3A]Colonize[/color][/b] a [color=#4A6A8A]tile[/color] [shake rate=20 level=5][color=#8B3A2A]adjacent[/color][/shake] to one controlled by your [b][color=#5B7A3A]empire[/color][/b][/center],[center][b][color=#5B7A3A]Coloniza[/color][/b] una [color=#4A6A8A]casilla[/color] [shake rate=20 level=5][color=#8B3A2A]adyacente[/color][/shake] a una controlada por tu [b][color=#5B7A3A]imperio[/color][/b][/center]
CARD_DIRECTBUILD_TOOLTIP_GENERIC,[center][b][color=#5B7A3A]Build[/color][/b] a [color=#4A6A8A]building[/color] directly[/center],[center][b][color=#5B7A3A]Construye[/color][/b] un [color=#4A6A8A]edificio[/color] directamente[/center]
CARD_DIRECTBUILD_TOOLTIP,[center][b][color=#5B7A3A]Build[/color][/b] [color=#4A6A8A]%s[/color][/center],[center][b][color=#5B7A3A]Construye[/color][/b] [color=#4A6A8A]%s[/color][/center]
CARD_UPGRADE_TOOLTIP,[center][b][color=#5B7A3A]Upgrade[/color][/b] an existing [color=#4A6A8A]building[/color][/center],[center][b][color=#5B7A3A]Mejora[/color][/b] un [color=#4A6A8A]edificio[/color] existente[/center]
CARD_GENGOLD_TOOLTIP,[center][b][color=#8A6A1A]Generate %d[/color][/b] [color=#8A6A1A]gold[/color][/center],[center][b][color=#8A6A1A]Genera %d[/color][/b] de [color=#8A6A1A]oro[/color][/center]
CARD_RECRUIT_TOOLTIP,[center][b][color=#8B1A1A]Recruit[/color][/b] a [color=#4A6A8A]troop[/color] for your army[/center],[center][b][color=#8B1A1A]Recluta[/color][/b] una [color=#4A6A8A]tropa[/color] para tu ejército[/center]
CARD_OPENFRONT_TOOLTIP,[center][b][color=#8B1A1A]Open[/color][/b] a [color=#8B1A1A]battle front[/color] against an adjacent [color=#8B3A2A]enemy[/color] tile[/center],[center][b][color=#8B1A1A]Abre[/color][/b] un [color=#8B1A1A]frente de batalla[/color] contra una casilla [color=#8B3A2A]enemiga[/color] adyacente[/center]
CARD_RECOVER_TOOLTIP,[center][b][color=#5B7A3A]Recover[/color][/b] a played [color=#4A6A8A]single-use card[/color] and return it to your hand[/center],[center][b][color=#5B7A3A]Recupera[/color][/b] una [color=#4A6A8A]carta de un solo uso[/color] jugada y devuelvela a tu mano[/center]
CARD_URBANIZE_TOOLTIP,[center][b][color=#5B7A3A]Urbanize[/color][/b] a tile to [color=#4A6A8A]%s[/color][/center],[center][b][color=#5B7A3A]Urbaniza[/color][/b] una casilla a [color=#4A6A8A]%s[/color][/center]
CARD_DRAW_TOOLTIP_ONE,[center][b][color=#5B7A3A]Draw[/color][/b] an extra [color=#4A6A8A]card[/color][/center],[center][b][color=#5B7A3A]Roba[/color][/b] una [color=#4A6A8A]carta[/color] extra[/center]
CARD_DRAW_TOOLTIP_N,[center][b][color=#5B7A3A]Draw %d[/color][/b] extra [color=#4A6A8A]cards[/color][/center],[center][b][color=#5B7A3A]Roba %d[/color][/b] [color=#4A6A8A]cartas[/color] extra[/center]
EFF_CARD_PER_TURN,+1 card per turn,+1 carta por turno
EFF_GOLD_GLOBAL_20,+20% global gold production,+20% producción de oro global
EFF_GOLD_GLOBAL_15,+15% global gold production,+15% producción de oro global
EFF_FOOD_GLOBAL_25,+25% global food production,+25% producción de comida global
EFF_FOOD_GLOBAL_15,+15% global food production,+15% producción de comida global
EFF_FOOD_GLOBAL_10,+10% global food production,+10% producción de comida global
EFF_BUILD_COST_20,-20% global construction cost,-20% coste de construcción global
BLD_CARAVANA_NAME,Trade Caravan,Caravana Comercial
BLD_FORTALEZA_NAME,Fortress,Fortaleza
BLD_ANFITEATRO_NAME,Amphitheater,Anfiteatro
BLD_ANFITEATRO_M1,Popular Culture,Cultura Popular
BLD_WAREHOUSE_NAME,Warehouse,Almacén
BLD_ZIGGURAT_NAME,Ziggurat,Zigurat
BLD_HUERTOS_NAME,Urban Gardens,Huertos Urbanos
BLD_GREMIO_NAME,Merchants' Guild,Gremio de Mercaderes
BLD_MARKET_NAME,Market Square,Plaza del Mercado
BLD_GRANJA_SANG_NAME,Leech Farm,Granja de Sanguijuelas
BLD_SAND_PIT_NAME,Sand Pit,Foso de Arena
BLD_LIBRARY_NAME,Library,Biblioteca
BLD_LIBRARY_M1,Scholarship,Erudición
BLD_TESORO_NAME,Imperial Treasury,Tesoro Imperial
BLD_TESORO_M1,Treasury Coffers,Arcas del Tesoro
BLD_COLISEO_NAME,Colosseum,Coliseo
BLD_COLISEO_M1,Colosseum Efficiency,Eficiencia del Coliseo
BLD_BANK_NAME,Bank,Banco
BLD_PORT_NAME,Port,Puerto
BLD_PALACIO_NAME,Imperial Palace,Palacio Imperial
BLD_PALACIO_M1,Palace Treasury,Tesoro del Palacio
BLD_PALACIO_M2,Palace Granaries,Graneros del Palacio
BLD_PALACIO_M3,Imperial Council,Consejo Imperial
BLD_CATEDRAL_NAME,Great Cathedral,Gran Catedral
BLD_CATEDRAL_M1,Cathedral Blessing,Bendición de la Catedral
BLD_OFICINA_NAME,Construction Office,Oficina de Construcción
BLD_OFICINA_T1,+15 gold when playing Build,+15 oro al jugar Build Card
BLD_OFICINA_T2,+15 gold when playing Upgrade Building,+15 oro al jugar Upgrade Building Card
BLD_SALT_MINE_NAME,Salt Mine,Mina de Sal
BLD_ACADEMIA_NAME,Military Academy,Academia Militar
BLD_ACADEMIA_M1,Military Academy: Extra Recruitment,Academia Militar: Reclutamiento extra
BLD_ACADEMIA_T1,+1 additional troop per Recruit use (stacks with the base Barracks),+1 tropa adicional por cada uso de Reclutar (acumula con el Cuartel base)
BLD_ACADEMIA_M2,Military Academy: Efficient Upkeep,Academia Militar: Mantenimiento eficiente
BLD_ACADEMIA_T2,-20% to base troop upkeep,-20% al mantenimiento base de tropas
BLD_ACADEMIA_T3,"When upgrading the FIRST building to Military Academy, adds a Recruit card to the discard pile","Al mejorar al PRIMER edificio a Academia Militar, añade una carta de Reclutar al descarte"
BLD_HUNTING_NAME,Hunting Ground,Zona de Caza
BLD_PUERTOCOM_NAME,Trade Port,Puerto Comercial
BLD_PUERTOCOM_M1,Sea Routes,Rutas Marítimas
BLD_CUARTEL_NAME,Barracks,Cuartel
BLD_CUARTEL_M1,Barracks: Extra Recruitment,Cuartel: Reclutamiento extra
BLD_CUARTEL_T1,+1 troop per Recruit use,+1 tropa por cada uso de Reclutar
BLD_CUARTEL_T2,"When building the FIRST Barracks, adds a Recruit card to the discard pile","Al construir el PRIMER Cuartel, añade una carta de Reclutar al descarte"
BLD_GRANBIBL_NAME,Great Library,Gran Biblioteca
BLD_GRANBIBL_M1,Ancient Wisdom,Sabiduría Antigua
BLD_GRANBIBL_M2,Arcane Knowledge,Conocimiento Arcano
BLD_GRANBIBL_T2,+1 extra card when drawing,+1 carta extra al robar
BLD_CROPS_NAME,Crops,Cultivos
BLD_OBSERV_NAME,Observatory,Observatorio
BLD_OBSERV_M1,Stellar Study,Estudio Estelar
BLD_FISHERY_NAME,Fishery,Pesquería
BLD_QUARRY_NAME,Quarry,Cantera
BLD_ESCUELA_NAME,Planning School,Escuela de Planificación
BLD_ESCUELA_T1,+20 gold when playing Urban Project,+20 oro al jugar Urban Project
BLD_GOLD_MINE_NAME,Gold Mine,Mina de Oro
BLD_JARDINES_NAME,Celestial Gardens,Jardines Celestiales
BLD_JARDINES_M1,Divine Fertility,Fertilidad Divina
BLD_LIVESTOCK_NAME,Livestock Farm,Granja de Ganado
BLD_IRON_MINE_NAME,Iron Mine,Mina de Hierro
BLD_MOLINO_NAME,Mill,Molino
BLD_LOGGING_NAME,Logging Camp,Campamento Forestal
BLD_FISH_MARKET_NAME,Fish Market,Mercado de Pescado
BLD_GLASSWORKS_NAME,Glassworks,Vidriera
BLD_FISHING_PORT_NAME,Fishing Port,Puerto Pesquero
BLD_FORGE_NAME,Forge,Herrería
BLD_SANTUARIO_NAME,Forest Sanctuary,Santuario del Bosque
BLD_GRANARY_NAME,Granary,Granero
BLD_RANCH_NAME,Ranch,Rancho
BLD_TEMPLE_NAME,Temple,Templo
BLD_TEMPLE_M1,Sacred Blessing,Bendición Sagrada
BLD_ROYAL_MINT_NAME,Royal Mint,Casa de la Moneda
BLD_SALT_REF_NAME,Salt Refinery,Refinería de Sal
BLD_SAWMILL_NAME,Sawmill,Serrería
BLD_STONECUTTER_NAME,Stonecutter Workshop,Taller de Cantería
BLD_TANNERY_NAME,Tannery,Tenería
EMP_MONGOL_NAME,Mongol Empire,Imperio Mongol
EMP_BABYLON_NAME,Babylon,Babilonia
EMP_MEDICI_NAME,Medici,Medici
ABIL_MEDICI_NAME,Florentine Bank,Banca Fiorentina
ABIL_MEDICI_DESC,"The power of money opens every door. Your gold production increases by 15% and the construction cost of all buildings is reduced by 20%. Also, you can build the Bank, an exclusive building with high gold production.","El poder del dinero abre todas las puertas. Tu produccion de oro aumenta un 15% y el coste de construccion de todos los edificios se reduce un 20%. Ademas, puedes construir el Banco, un edificio exclusivo con alta produccion de oro."
ABIL_BABYLON_NAME,Hanging Gardens,Jardines Colgantes
ABIL_BABYLON_DESC,"The fertility and trade of Mesopotamia make your civilization prosper. Wheat tiles produce +2 additional food, each time you play a Build card you receive +3 gold, and your global gold production increases by 10% thanks to the Trade Routes of Mesopotamia. Also, you can build the Ziggurat, a balanced exclusive building.","La fertilidad y el comercio de Mesopotamia hacen prosperar tu civilizacion. Las casillas con Trigo producen +2 comida adicional, cada vez que juegas una carta de Construccion recibes +3 oro, y tu produccion de oro global aumenta un 10% gracias a las Rutas Comerciales de Mesopotamia. Ademas, puedes construir el Zigurat, un edificio exclusivo equilibrado."
ABIL_MONGOL_NAME,Nomad Horde,Horda Nómada
MODF_PERCENT_GOLD,%s global gold production,%s producción de oro global
MODF_PERCENT_FOOD,%s global food production,%s producción de comida global
MODF_FLAT_GOLD,%s gold per turn,%s de oro por turno
MODF_FLAT_FOOD,%s food per turn,%s de comida por turno
MODF_TILE_FOOD,%s food on %s tiles,%s comida en casillas con %s
MODF_TILE_GOLD,%s gold on %s tiles,%s oro en casillas con %s
MODF_TROOP_MAINT,%s troop upkeep,%s de mantenimiento de tropas
MODF_TROOP_MAINT_CAVALRY,%s cavalry upkeep,%s de mantenimiento de caballería
MODF_BUILD_COST,%s building construction cost,%s de coste de construcción
MODF_CARD_RETURN,%s chance to recover %s,%s de probabilidad de recuperar %s
MODF_GOLD_ON_CARD,%s gold each time you play %s,%s de oro cada vez que juegas %s
MODF_CARDS_PER_TURN,%s cards per turn,%s cartas por turno
MODF_CARD_DRAW_BONUS,%s extra cards on draw,%s cartas extra al robar
MODF_TROOPS_PER_RECRUIT,%s extra troops per recruit,%s tropas extra por recluta
MODF_TROOPS_PER_RECRUIT_TYPE,%s extra %s per recruit,%s %s extra por recluta
MODF_EXCLUSIVE_BUILDING,Exclusive building: %s,Edificio exclusivo: %s
MOD_BANKING_GOLD_NAME,Florentine Bank: Gold,Banca Florentina: Oro
MOD_BANKING_BUILD_NAME,Florentine Bank: Construction,Banca Florentina: Construcción
MOD_GARDENS_WHEAT_NAME,Hanging Gardens: Wheat,Jardines Colgantes: Trigo
MOD_GARDENS_GOLDBUILD_NAME,Hanging Gardens: Construction,Jardines Colgantes: Construcción
MOD_BABYLON_TRADE_NAME,Mesopotamian Trade Routes,Rutas de Mesopotamia
MOD_HORDE_LIVESTOCK_NAME,Nomad Horde: Livestock,Horda Nómada: Ganado
MOD_HORDE_COLONIZE_NAME,Nomad Horde: Colonize,Horda Nómada: Colonizar
MOD_HORDE_CAVALRY_NAME,Nomad Horde: Maintenance,Horda Nómada: Mantenimiento
CARD_COLONIZE_NAME,Colonize,Colonizar
CARD_BUILD_NAME,Build,Construir
ABIL_MONGOL_DESC,"The nomadic spirit of the steppes drives your expansion. Your Livestock tiles produce +1 additional food and each time you play Colonize there is a 30% chance it returns to your hand. Also, your cavalry costs 25% less to maintain.","El espiritu nomada de las estepas impulsa tu expansion. Tus casillas con Ganado producen +1 comida adicional y cada vez que juegas Colonizar hay un 30% de probabilidad de que vuelva a tu mano. Ademas, tu caballeria cuesta un 25% menos de mantener."
TROOP_CAVALRY_NAME,Cavalry,Caballería
TROOP_HEAVY_NAME,Heavy Infantry,Infantería Pesada
TROOP_MILITIA_NAME,Militia,Milicia
TROOP_PIKEMEN_NAME,Pikemen,Piqueros
TROOP_RANGED_NAME,Ranged,Tiradores
RES_WOOD_NAME,Wood,Madera
RES_SALT_NAME,Salt,Sal
RES_GOLD_NAME,Gold,Oro
RES_IRON_NAME,Iron,Hierro
RES_WILD_GAME_NAME,Wild Game,Caza Mayor
RES_FISH_NAME,Fish,Pesca
RES_STONE_NAME,Stone,Piedra
RES_WHEAT_NAME,Wheat,Trigo
RES_LIVESTOCK_NAME,Livestock,Ganado
RES_SAND_NAME,Sand,Arena
TACTIC_ARROW_RAIN_NAME,Arrow Rain,Lluvia de Flechas
TACTIC_PHALANX_NAME,Pike and Shield Wall,Muro de Lanzas y Escudos
TACTIC_AMBUSH_NAME,Ambush,Emboscada
TACTIC_FRONTAL_NAME,Frontal Assault,Asalto Frontal
TACTIC_CAVALRY_CHARGE_NAME,Cavalry Charge,Carga de Caballería
CARD_BUILD_LIBRARY_TIP,Build a Library (+1 card per turn),Construye una Library (+1 carta por turno)
CARD_BUILD_TEMPLE_TIP,Build a Temple (+10% global food),Construye un Temple (+10% comida global)
CARD_BUILD_COLISEO_TIP,Build a Colosseum (-20% global construction cost),Construye un Coliseo (-20% coste construcción global)
CARD_BUILD_ESCUELA_TIP,Build a Planning School (+20 gold when urbanizing),Construye una Escuela de Planificación (+20 oro al urbanizar)
CARD_BUILD_OFICINA_TIP,Build a Construction Office (+15 gold when building or upgrading),Construye una Oficina de Construcción (+15 oro al construir o mejorar)
CARD_BUILD_PALACIO_TIP,"Build the Imperial Palace (+15% gold, +15% food, +1 card/turn)","Construye el Palacio Imperial (+15% oro, +15% comida, +1 carta/turno)"
EVT_AGRARIAN_TITLE,Agrarian Reform,Reforma Agraria
EVT_AGRARIAN_DESC,"[i]The peasants clamor for a redistribution of land. Investing in agriculture could feed your people, but at the cost of the treasury.[/i]","[i]Los campesinos claman por una redistribución de tierras. Invertir en agricultura podría alimentar a tu pueblo, pero a costa de las arcas.[/i]"
EVT_BASIC_SHOP_TITLE,Local Market,Mercado Local
EVT_BASIC_SHOP_DESC,"[i]A lively market sets up near your domains. The merchants offer supplies in exchange for gold.[/i]","[i]Un animado mercado se instala cerca de tus dominios. Los comerciantes ofrecen suministros a cambio de oro.[/i]"
EVT_BAD_HARVEST_TITLE,Bad Harvest,Mala Cosecha
EVT_BAD_HARVEST_DESC,"[i]Late frosts have damaged the crops. Your fields produce far less than expected this year.[/i]","[i]Las heladas tardías han dañado los cultivos. Tus campos producen mucho menos de lo esperado este año.[/i]"
EVT_ABUNDANT_TITLE,Abundant Harvest,Cosecha Abundante
EVT_ABUNDANT_DESC,"[i]The rains have been generous this year. Your fields overflow with grain and fruit, more than anyone expected.[/i]","[i]Las lluvias han sido generosas este año. Tus campos rebosan de grano y fruta, más de lo que nadie esperaba.[/i]"
EVT_BANDITS_TITLE,Bandits on the Roads,Bandidos en los Caminos
EVT_BANDITS_DESC,"[i]Bands of bandits have taken over the roads connecting your provinces. Trade and travelers are in danger.[/i]","[i]Grupos de bandidos han tomado los caminos que conectan tus provincias. El comercio y los viajeros están en peligro.[/i]"
EVT_CARD_OFFERING_TITLE,Card Offering,Ofrenda de Cartas
EVT_CARD_OFFERING_DESC,"[i]A messenger arrives with news from distant lands. He carries a scroll with new tactics and strategies that could be useful to you.[/i]","[i]Un mensajero llega con noticias de tierras lejanas. Trae consigo un pergamino con nuevas tácticas y estrategias que podrían serte útiles.[/i]"
EVT_CATTLE_FAIR_TITLE,Cattle Fair,Feria de Ganado
EVT_CATTLE_FAIR_DESC,"[i]Ranchers from distant lands organize a great fair. You can sell part of your livestock at a good price.[/i]","[i]Ganaderos de tierras lejanas organizan una gran feria. Puedes vender parte de tu ganado a buen precio.[/i]"
EVT_DECK_PURGE_TITLE,Deck Purge,Depuración del Mazo
EVT_DECK_PURGE_DESC,"[i]A traveling archivist visits your court and offers to review your strategies. He can help you discard the least useful plans to make your deck more efficient.[/i]","[i]Un archivero itinerante visita tu corte y se ofrece a revisar tus estrategias. Puede ayudarte a descartar los planes menos útiles para que tu mazo sea más eficiente.[/i]"
EVT_CONSTRUCTION_BOOM_TITLE,Construction Boom,Boom de Construcción
EVT_CONSTRUCTION_BOOM_DESC,"[i]Your empire grows endlessly. Master builders flock to your lands seeking work, bringing new blueprints and techniques.[/i]","[i]Tu imperio crece sin cesar. Los maestros constructores acuden a tus tierras en busca de trabajo, trayendo consigo nuevos planos y técnicas.[/i]"
EVT_LOCUST_TITLE,Locust Plague,Plaga de Langostas
EVT_LOCUST_DESC,"[i]A dark cloud looms over your lands. Thousands of locusts devour everything in their path, leaving the fields barren.[/i]","[i]Una nube oscura se cierne sobre tus tierras. Miles de langostas devoran todo a su paso, dejando los campos yermos.[/i]"
EVT_MATERIAL_CRISIS_TITLE,Material Crisis,Crisis de Materiales
EVT_MATERIAL_CRISIS_DESC,"[i]Supplies of stone and wood have run out in the region. Construction prices skyrocket.[/i]","[i]Los suministros de piedra y madera se han agotado en la región. Los precios de construcción se disparan.[/i]"
EVT_DROUGHT_TITLE,Drought,Sequía
EVT_DROUGHT_DESC,"[i]The sun punishes without mercy. Rivers dry up, wells run out and the earth cracks beneath an implacable sky.[/i]","[i]El sol castiga sin piedad. Los ríos se secan, los pozos se agotan y la tierra se agrieta bajo un cielo implacable.[/i]"
EVT_MERCHANT_CARAVAN_TITLE,Merchant Caravan,Caravana Mercante
EVT_MERCHANT_CARAVAN_DESC,"[i]A caravan of foreign merchants arrives in your lands. They bring gold coins and a desire to trade.[/i]","[i]Una caravana de mercaderes extranjeros llega a tus tierras. Traen consigo monedas de oro y deseos de comerciar.[/i]"
EVT_MEGALOPOLIS_TITLE,Founding a Megalopolis,Fundación de Megalópolis
EVT_MEGALOPOLIS_DESC,"[i]Your civilization has reached an unprecedented level of development. The most prosperous cities buzz with activity and their inhabitants dream of something greater: a metropolis that is the center of the known world, a beacon of power and culture that eclipses all others.[/i]","[i]Tu civilización ha alcanzado un nivel de desarrollo sin precedentes. Las ciudades más prósperas bullen de actividad y sus habitantes sueñan con algo más grande: una metrópolis que sea el centro del mundo conocido, un faro de poder y cultura que eclipse a todas las demás.[/i]"
EVT_MERCENARIES_TITLE,Mercenaries,Mercenarios
EVT_MERCENARIES_DESC,"[i]A group of soldiers of fortune is looking for work. For the right price, they could expand your borders.[/i]","[i]Un grupo de soldados de fortuna busca empleo. Por el precio adecuado, podrían expandir tus fronteras.[/i]"
EVT_SPIRIT_BENDICION_TITLE,Blessing of Nature,Bendición de la Naturaleza
